id,nombre,tipo,estado,lat,lng,direccion,barrio,necesidades,voluntarios_hay,voluntarios_faltan,contacto,actualizado
tznrabygzv4z,"Miravalle, Yotoco",rescate,urgente,3.984478324579375,-76.38187408447266,"Miravalle, Yotoco",,Comida | Carpas | Colchonetas | Costales,0,0,,2026-08-12T16:31:38.750Z
mfbtw6pfkwn8,Providencia Pereira,rescate,urgente,4.8034083,-75.697418,Providencia Pereira,,Guantes de obra | Gafas de seguridad | Tapabocas | Linternas | Palas | Picas | Comida para animales | Costales,0,0,,2026-08-12T16:31:19.935Z
ktaj2fdv84x5,Vereda el silencio Restrepo valle,rescate,urgente,3.818117,-76.5286631,Vereda el silencio Restrepo valle,,Agua | Comida | Linternas | Electrolitos | Carpas | Colchonetas | Comida para animales | Pañales | Voluntarios | Muchas linternas | ropa para niños | mujeres y hombres de todas las edades.,0,0,,2026-08-12T16:20:22.119Z
w4xaswgn3naw,Calle 18 con Carrera 19,rescate,cerrado,4.535327391956425,-76.10633227926434,Calle 18 con Carrera 19,,,0,0,,2026-08-12T16:19:46.413Z
ebxgw5ika7up,Calle 11 con Carrera 12,rescate,cerrado,4.529085731248661,-76.10167401342639,Calle 11 con Carrera 12,,,0,0,,2026-08-12T16:18:07.495Z
zph8aycf8hxq,Parque guadalupe Dosquebradas,rescate,urgente,4.836566419929017,-75.67390680313112,Parque guadalupe Dosquebradas,,Guantes de obra | Linternas | Tapabocas | Palas | Voluntarios,0,0,,2026-08-12T16:15:56.513Z
5gyxsa2pqfr2,Galeria municipal,rescate,cerrado,4.535603303030416,-76.10346696660878,Galeria municipal,,,0,0,,2026-08-12T16:10:21.230Z
xcw64he2srg8,Oxxo calle 44,rescate,urgente,4.6270932,-74.1320049,Oxxo calle 44,,NO SE NECESITA NADA,0,0,,2026-08-12T16:09:48.977Z
uwbt3xnjw9dz,Calle 5 con Carrera 44 - Cali diagonal oxxo,rescate,cerrado,7.887804808693662,-72.48572336949796,Calle 5 con Carrera 44 - Cali,,Colchonetas | Carpas,0,0,,2026-08-12T16:05:44.687Z
nsnr8fmfp4z5,Vereda Lituania el Dovio valle,rescate,urgente,5.3380668,-75.0331812,Vereda Lituania el Dovio valle,,Agua | Comida | Gafas de seguridad | Guantes de obra | Linternas | Palas | Picas | Porras | Botiquín | Colchonetas | Pañales | Comida para animales,0,0,,2026-08-12T16:03:38.369Z
whs8ns2q62m9,Palmira,rescate,urgente,3.5350828,-76.2902754,Palmira,,,0,0,,2026-08-12T15:41:45.732Z
tdfyh3zquwih,carrera 1  7-50 buga valle,rescate,urgente,3.8965324,-76.2904983,carrera 1  7-50 buga valle,,,0,0,,2026-08-12T15:33:15.655Z
h7t3cnjtza43,Club rotario Itagüí,rescate,urgente,6.168731654113047,-75.61230480670474,Club rotario Itagüí,,Agua | Comida | Guantes de obra | Gafas de seguridad | Tapabocas | Linternas | Palas | Picas | Porras | Barras de demolición | Percutores | Discos de pulidora | Cinceles | Seguetas | Baldes | Costales | Cintas de seguridad | Electrolitos | Botiquín | Tapers,0,0,,2026-08-12T15:21:02.749Z
9ubp9sthh5d2,Carrera 9#8-54 yotoco,rescate,urgente,3.859649386497329,-76.38034182826233,Carrera 9#8-54 yotoco,,Linternas | Agua | Colchonetas | Alcohol y elementos de cuidado | alimentos no perecederos  productos de aseo,0,0,,2026-08-12T15:16:09.092Z
tffdbp6rnrsa,San Pedro,rescate,urgente,3.9952846184406487,-76.23165160417557,Calle 3 #5-55,,Agua | Comida | Botiquín | Colchonetas | Comida para animales | Electrolitos | Pañales,0,0,,2026-08-12T14:48:32.547Z
